,DevType,평균연봉,연도
0,desktop or enterprise applications,120683.37319350301,2021
1,back-end,113591.26541643166,2021
2,DevOps specialist,133925.01521335807,2021
3,Marketing or sales professional,117580.79322033898,2021
4,full-stack,117161.10079940045,2021
5,Data or business analyst,120827.17775090689,2021
6,Product manager,119843.11554192229,2021
7,Senior Executive (C-Suite,211056.9867083659,2021
8,System administrator,107549.33115151516,2021
9,Scientist,117229.02737642586,2021
10,Student,53541.84061696658,2021
11,site reliability,152434.01595159515,2021
12,mobile,91188.8000305064,2021
13,QA or test,110733.2514484357,2021
14,Other (please specify):,148419.97755741127,2021
15,embedded applications or devices,134562.77463445647,2021
16,Designer,114192.18952180028,2021
17,VP,211056.9867083659,2021
18,front-end,105017.0586185535,2021
19,game or graphics,99095.11302982732,2021
20,Academic researcher,86890.079825041,2021
21,Engineering manager,170521.9000726744,2021
22,Data scientist or machine learning specialist,129177.67328767123,2021
23,Engineer,144776.36795162508,2021
24,Database administrator,113182.20065623423,2021
25,Developer,114920.29053063618,2021
